Customer_ID,Customer_Name,Email,City,Country
101,Aarav Sharma,aarav.sharma@example.com,Delhi,India
102,Diya Verma,diya.verma@example.com,Mumbai,India
103,Rohan Gupta,rohan.gupta@example.com,Bengaluru,India
104,Ananya Singh,ananya.singh@example.com,Lucknow,India
105,Kabir Mehta,kabir.mehta@example.com,Pune,India
106,Ishita Kapoor,ishita.kapoor@example.com,Jaipur,India
107,Aditya Rao,aditya.rao@example.com,Hyderabad,India
108,Meera Joshi,meera.joshi@example.com,Chandigarh,India
109,Vihaan Patel,vihaan.patel@example.com,Ahmedabad,India
110,Sara Khan,sara.khan@example.com,Kolkata,India
111,Arjun Malhotra,arjun.malhotra@example.com,Noida,India
112,Nisha Agarwal,nisha.agarwal@example.com,Agra,India
113,Rahul Bansal,rahul.bansal@example.com,Gurugram,India
114,Kavya Iyer,kavya.iyer@example.com,Chennai,India
115,Yash Tiwari,yash.tiwari@example.com,Kanpur,India
116,Sanya Mishra,sanya.mishra@example.com,Varanasi,India
117,Dev Kumar,dev.kumar@example.com,Patna,India
118,Aditi Jain,aditi.jain@example.com,Bhopal,India
119,Manav Sethi,manav.sethi@example.com,Surat,India
120,Tanya Roy,tanya.roy@example.com,Kochi,India
